title,genre,score,synopsis
Blue Bloods,"Crime, Drama, Mystery",7.7,"Blue Bloods follows the lives of the NYPD's First Family of Law Enforcement: the Reagans. Frank, the Police Comissioner and son of former PC Henry Reagan, must balance his duties of running the largest police force in the world and being his kids' boss. His daughter Erin is an Assistant District Attorney, son Danny is a senior detective and fellow Marine Veteran, and new Harvard Law grad turned cop, Jamie all swirl through this family drama and passionately defend their city from harm. The Irish-American family is deeply rooted in their patriotism, passion, and love of family."
The X Files,"Crime, Drama, Mystery",8.6,"With problems appearing between FBI agents Fox Mulder and Dana Scully, a dangerous conspiracy is starting to appear. A deadly virus, which appears to be of extraterrestrial origin has appeared, which could destroy all life on Earth. With the help of a paranoid doctor, Alvin Kurtzweil, Mulder and Scully must act fast in order to save everyone on the planet."
Accused,"Crime, Drama",7.1,"A psychological thriller, based on one of the most controversial court cases in the Netherlands. Lucia, a nurse, is sentenced to life imprisonment for allegedly having killed at least seven babies and elderly people."
Law & Order,"Crime, Drama, Mystery",7.8,"Clyde Shelton's family is brutally murdered. The ones responsible are caught. However, because of improper procedure, the D.A., Nick Rice only has circumstantial evidence. So he decides to get one of them to testify against the other. When Shelton learns of this, he is not happy. Ten years later, the one who was convicted is being executed but something goes wrong; his execution goes awry and he suffers. They learn that someone tampered with the machine. And the other one is found dead, killed in a gruesome manner. Rice suspects Shelton, so he has him picked up. At first, Shelton agrees to a plea agreement with Rice but changes his mind. It appears that Shelton is not done, it appears he blames the whole system and is declaring war on it going after everyone involved with his family's case. So Rice has to stop him but Shelton is way ahead of him."
Jack Ryan,"Action, Drama, Thriller",8.0,"When CIA analyst Jack Ryan stumbles upon a suspicious series of bank transfers his search for answers pulls him from the safety of his desk job and catapults him into a deadly game of cat and mouse throughout Europe and the Middle East, with a rising terrorist figurehead preparing for a massive attack against the US and her allies."
Only Murders in the Building,"Comedy, Crime, Drama",8.1,"Follows three strangers (Steve Martin, Martin Short, and Selena Gomez) who share an obsession with true crime and suddenly find themselves wrapped up in one. When a grisly death occurs inside their exclusive Upper West Side apartment building, the trio suspects murder and employs their precise knowledge of true crime to investigate the truth. As they record a podcast of their own to document the case, the three unravel the complex secrets of the building which stretch back years. Perhaps even more explosive are the lies they tell one another. Soon, the endangered trio comes to realize a killer might be living amongst them as they race to decipher the mounting clues before it's too late."
True Blood,"Drama, Fantasy, Mystery",7.9,"Set in modern times, vampires roam the Earth and are humans' mortal enemies. However, a substitute has been found for human blood, a substitute that vampires can consume with the same effect as human blood. This is True Blood. Now humans and vampires can co-exist in harmony, and even form relationships. But there will always be rogue elements on both sides ready to exploit the uneasy truce."
Buffy the Vampire Slayer,"Action, Drama, Fantasy",8.3,"""In every generation there is a chosen one... she alone will stand against the vampires, the demons and the forces of darkness. She is the slayer."" Buffy Summers knows this tale by heart, and no matter how hard she tries to be just a ""normal girl"", she can not escape from her destiny... Thankfully, she is not alone in her quest to save the world, as she has the help of her friends, the hilarious (and surprisingly quite effective) evil-fighting team called ""The Scooby Gang"". Together, Buffy &amp; co. will slay their demons, survive one apocalypse after another, attend high school and college... and above all, understand that growing up can truly be Hell sometimes... literally."
The Bear,"Comedy, Drama",8.4,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.
Mad Men,Drama,8.7,"The professional and personal lives of those who work in advertising on Madison Avenue - self-coined ""mad men"" - in the 1960s are presented. The stories focus on those at one of the avenue's smaller firms, Sterling Cooper, and its various incarnations over the decade. At the heart of these stories is Donald Draper, the creative genius of the company. That professional creative brilliance belies the fact of a troubled childhood, one that he would rather forget and not let anyone know about except for a select few, but one that shaped who he is as an adult and as an ad man in the need not only to sell products but sell himself to the outside world. His outward confidence also masks many insecurities as evidenced through his many vices, such as excessive smoking, drinking and womanizing - the latter despite being a family man - and how he deals with the aftermath of some of the negative aspects of his life."
Vera,"Crime, Drama, Mystery",8.1,"The central character is Detective Chief Inspector Vera Stanhope. Who is obsessive about her work and driven by her own demons. If she's lonely she doesn't show it and faces the world with caustic wit, guile and courage. Her trusted and long suffering colleague is Sergeant Joe Ashworth. Together they approach every new case with unparalleled gusto and professionalism."
